"symbol","type","database"
"IGHV3-53","predicted secreted protein","HPA"
"IGHV3-64","predicted secreted protein","HPA"
"IGHV3-64D","predicted secreted protein","HPA"
"IGHV3-66","predicted secreted protein","HPA"
"IGHV3-7","predicted secreted protein","HPA"
"IGHV3-72","predicted secreted protein","HPA"
"IGHV3-73","predicted secreted protein","HPA"
"IGHV3-74","predicted secreted protein","HPA"
"IGHV4-28","predicted secreted protein","HPA"
"IGHV4-31","predicted secreted protein","HPA"
"IGHV4-34","predicted secreted protein","HPA"
"IGHV4-39","predicted secreted protein","HPA"
"IGHV4-4","predicted secreted protein","HPA"
"IGHV4-59","predicted secreted protein","HPA"
"IGHV4-61","predicted secreted protein","HPA"
"IGHV5-10-1","predicted secreted protein","HPA"
"IGHV5-51","predicted secreted protein","HPA"
"IGHV6-1","predicted secreted protein","HPA"
"IGHV7-4-1","predicted secreted protein","HPA"
"IGHV7-81","predicted secreted protein","HPA"
"IGHV8-51-1","predicted secreted protein","HPA"
"IGIP","predicted secreted protein","HPA"
"IGKC","predicted secreted protein","HPA"
"IGKJ1","predicted secreted protein","HPA"
"IGKV1-12","predicted secreted protein","HPA"
"IGKV1-16","predicted secreted protein","HPA"
"IGKV1-17","predicted secreted protein","HPA"
"IGKV1-27","predicted secreted protein","HPA"
"IGKV1-33","predicted secreted protein","HPA"
"IGKV1-37","predicted secreted protein","HPA"
"IGKV1-39","predicted secreted protein","HPA"
"IGKV1-5","predicted secreted protein","HPA"
"IGKV1-6","predicted secreted protein","HPA"
"IGKV1-8","predicted secreted protein","HPA"
"IGKV1-9","predicted secreted protein","HPA"
"IGKV1D-12","predicted secreted protein","HPA"
"IGKV1D-13","predicted secreted protein","HPA"
"IGKV1D-16","predicted secreted protein","HPA"
"IGKV1D-17","predicted secreted protein","HPA"
"IGKV1D-33","predicted secreted protein","HPA"
"IGKV1D-37","predicted secreted protein","HPA"
"IGKV1D-39","predicted secreted protein","HPA"
"IGKV1D-42","predicted secreted protein","HPA"
"IGKV1D-43","predicted secreted protein","HPA"
"IGKV1D-8","predicted secreted protein","HPA"
"IGKV2-24","predicted secreted protein","HPA"
"IGKV2-28","predicted secreted protein","HPA"
"IGKV2-30","predicted secreted protein","HPA"
"IGKV2-40","predicted secreted protein","HPA"
"IGKV2D-24","predicted secreted protein","HPA"
"IGKV2D-26","predicted secreted protein","HPA"
"IGKV2D-28","predicted secreted protein","HPA"
"IGKV2D-29","predicted secreted protein","HPA"
"IGKV2D-30","predicted secreted protein","HPA"
"IGKV2D-40","predicted secreted protein","HPA"
"IGKV3-11","predicted secreted protein","HPA"
"IGKV3-15","predicted secreted protein","HPA"
"IGKV3-20","predicted secreted protein","HPA"
"IGKV3-7","predicted secreted protein","HPA"
"IGKV3D-11","predicted secreted protein","HPA"
"IGKV3D-15","predicted secreted protein","HPA"
"IGKV3D-20","predicted secreted protein","HPA"
"IGKV3D-7","predicted secreted protein","HPA"
"IGKV4-1","predicted secreted protein","HPA"
"IGKV5-2","predicted secreted protein","HPA"
"IGKV6-21","predicted secreted protein","HPA"
"IGKV6D-21","predicted secreted protein","HPA"
"IGKV6D-41","predicted secreted protein","HPA"
"IGLC1","predicted secreted protein","HPA"
"IGLC2","predicted secreted protein","HPA"
"IGLC3","predicted secreted protein","HPA"
"IGLC7","predicted secreted protein","HPA"
"IGLJ1","predicted secreted protein","HPA"
"IGLL1","predicted secreted protein","HPA"
"IGLL5","predicted secreted protein","HPA"
"IGLON5","predicted secreted protein","HPA"
"IGLON5","predicted secreted protein","VerSeDa"
"IGLV1-36","predicted secreted protein","HPA"
"IGLV1-40","predicted secreted protein","HPA"
"IGLV1-44","predicted secreted protein","HPA"
"IGLV1-47","predicted secreted protein","HPA"
"IGLV1-50","predicted secreted protein","HPA"
"IGLV1-51","predicted secreted protein","HPA"
"IGLV10-54","predicted secreted protein","HPA"
"IGLV11-55","predicted secreted protein","HPA"
"IGLV2-11","predicted secreted protein","HPA"
"IGLV2-14","predicted secreted protein","HPA"
"IGLV2-18","predicted secreted protein","HPA"
"IGLV2-23","predicted secreted protein","HPA"
"IGLV2-33","predicted secreted protein","HPA"
"IGLV2-8","predicted secreted protein","HPA"
"IGLV3-1","predicted secreted protein","HPA"
"IGLV3-10","predicted secreted protein","HPA"
"IGLV3-12","predicted secreted protein","HPA"
"IGLV3-16","predicted secreted protein","HPA"
"IGLV3-19","predicted secreted protein","HPA"
"IGLV3-21","predicted secreted protein","HPA"
"IGLV3-22","predicted secreted protein","HPA"
"IGLV3-25","predicted secreted protein","HPA"
"IGLV3-27","predicted secreted protein","HPA"
"IGLV3-32","predicted secreted protein","HPA"
"IGLV3-9","predicted secreted protein","HPA"
"IGLV4-3","predicted secreted protein","HPA"
"IGLV4-60","predicted secreted protein","HPA"
"IGLV4-69","predicted secreted protein","HPA"
"IGLV5-37","predicted secreted protein","HPA"
"IGLV5-45","predicted secreted protein","HPA"
"IGLV5-48","predicted secreted protein","HPA"
"IGLV5-52","predicted secreted protein","HPA"
"IGLV6-57","predicted secreted protein","HPA"
"IGLV7-43","predicted secreted protein","HPA"
"IGLV7-46","predicted secreted protein","HPA"
"IGLV8-61","predicted secreted protein","HPA"
"IGLV9-49","predicted secreted protein","HPA"
"IGSF10","predicted secreted protein","HPA"
"IHH","predicted secreted protein","HPA"
"IHH","secreted protein","NABA"
"IKBKB","cytokin/chemokine_&_receptors","WP"
"IKBKG","cytokin/chemokine_&_receptors","WP"
"IL10","growth_factors_&_receptors","Online resource"
"IL10","cytokin/chemokine_&_receptors","Online resource"
"IL10","predicted secreted protein","HPA"
"IL10","growth_factors_&_receptors","GOMF"
"IL10","cytokin/chemokine_&_receptors","KEGG"
"IL10","secreted protein","NABA"
"IL10","cytokin/chemokine_&_receptors","GSEA"
"IL10RA","cytokin/chemokine_&_receptors","Online resource"
"IL10RA","growth_factors_&_receptors","Online resource"
"IL10RA","growth_factors_&_receptors","GOMF"
"IL10RA","cytokin/chemokine_&_receptors","KEGG"
"IL10RB","cytokin/chemokine_&_receptors","Online resource"
"IL10RB","cytokin/chemokine_&_receptors","KEGG"
"IL11","growth_factors_&_receptors","Online resource"
"IL11","cytokin/chemokine_&_receptors","Online resource"
"IL11","predicted secreted protein","HPA"
"IL11","predicted secreted protein","VerSeDa"
"IL11","growth_factors_&_receptors","GOMF"
"IL11","cytokin/chemokine_&_receptors","KEGG"
"IL11","secreted protein","NABA"
"IL11","cytokin/chemokine_&_receptors","GSEA"
"IL11RA","cytokin/chemokine_&_receptors","Online resource"
"IL11RA","growth_factors_&_receptors","Online resource"
"IL11RA","growth_factors_&_receptors","GOMF"
"IL11RA","cytokin/chemokine_&_receptors","KEGG"
"IL12A","growth_factors_&_receptors","Online resource"
"IL12A","cytokin/chemokine_&_receptors","Online resource"
"IL12A","growth_factors_&_receptors","GOMF"
"IL12A","cytokin/chemokine_&_receptors","KEGG"
"IL12A","secreted protein","NABA"
"IL12A","cytokin/chemokine_&_receptors","GSEA"
"IL12B","growth_factors_&_receptors","Online resource"
"IL12B","cytokin/chemokine_&_receptors","Online resource"
"IL12B","predicted secreted protein","HPA"
"IL12B","growth_factors_&_receptors","GOMF"
"IL12B","cytokin/chemokine_&_receptors","KEGG"
"IL12B","secreted protein","NABA"
"IL12B","cytokin/chemokine_&_receptors","GSEA"
"IL12RB1","growth_factors_&_receptors","Online resource"
"IL12RB1","cytokin/chemokine_&_receptors","Online resource"
"IL12RB1","growth_factors_&_receptors","GOMF"
"IL12RB1","cytokin/chemokine_&_receptors","KEGG"
"IL12RB2","cytokin/chemokine_&_receptors","Online resource"
"IL12RB2","cytokin/chemokine_&_receptors","KEGG"
"IL13","cytokin/chemokine_&_receptors","Online resource"
"IL13","predicted secreted protein","HPA"
"IL13","predicted secreted protein","VerSeDa"
"IL13","cytokin/chemokine_&_receptors","KEGG"
"IL13","secreted protein","NABA"
"IL13","cytokin/chemokine_&_receptors","GSEA"
"IL13RA1","cytokin/chemokine_&_receptors","Online resource"
"IL13RA1","cytokin/chemokine_&_receptors","KEGG"
"IL13RA2","cytokin/chemokine_&_receptors","Online resource"
"IL15","cytokin/chemokine_&_receptors","Online resource"
"IL15","predicted secreted protein","HPA"
"IL15","cytokin/chemokine_&_receptors","KEGG"
"IL15","secreted protein","NABA"
"IL15","cytokin/chemokine_&_receptors","GSEA"
"IL15RA","cytokin/chemokine_&_receptors","Online resource"
"IL15RA","cytokin/chemokine_&_receptors","KEGG"
"IL16","cytokin/chemokine_&_receptors","Online resource"
"IL16","predicted secreted protein","HPA"
"IL16","secreted protein","NABA"
"IL16","cytokin/chemokine_&_receptors","GSEA"
"IL17A","cytokin/chemokine_&_receptors","Online resource"
"IL17A","predicted secreted protein","HPA"
"IL17A","predicted secreted protein","VerSeDa"
"IL17A","cytokin/chemokine_&_receptors","KEGG"
"IL17A","secreted protein","NABA"
"IL17A","cytokin/chemokine_&_receptors","GSEA"
"IL17B","cytokin/chemokine_&_receptors","Online resource"
"IL17B","predicted secreted protein","HPA"
"IL17B","cytokin/chemokine_&_receptors","KEGG"
"IL17B","secreted protein","NABA"
"IL17B","cytokin/chemokine_&_receptors","GSEA"
"IL17C","cytokin/chemokine_&_receptors","Online resource"
"IL17C","predicted secreted protein","HPA"
"IL17C","predicted secreted protein","VerSeDa"
"IL17C","secreted protein","NABA"
"IL17C","cytokin/chemokine_&_receptors","GSEA"
"IL17D","cytokin/chemokine_&_receptors","Online resource"
"IL17D","predicted secreted protein","HPA"
"IL17D","predicted secreted protein","VerSeDa"
"IL17D","secreted protein","NABA"
"IL17D","cytokin/chemokine_&_receptors","GSEA"
"IL17F","cytokin/chemokine_&_receptors","Online resource"
"IL17F","predicted secreted protein","HPA"
"IL17F","predicted secreted protein","VerSeDa"
"IL17F","secreted protein","NABA"
"IL17F","cytokin/chemokine_&_receptors","GSEA"
"IL17RA","cytokin/chemokine_&_receptors","Online resource"
"IL17RA","cytokin/chemokine_&_receptors","KEGG"
"IL17RB","cytokin/chemokine_&_receptors","Online resource"
"IL17RB","cytokin/chemokine_&_receptors","KEGG"
"IL17RC","cytokin/chemokine_&_receptors","Online resource"
"IL17RE","cytokin/chemokine_&_receptors","Online resource"
"IL17RE","predicted secreted protein","VerSeDa"
"IL17REL","cytokin/chemokine_&_receptors","Online resource"
"IL18","cytokin/chemokine_&_receptors","Online resource"
"IL18","predicted secreted protein","HPA"
"IL18","cytokin/chemokine_&_receptors","KEGG"
"IL18","secreted protein","NABA"
"IL18","cytokin/chemokine_&_receptors","GSEA"
"IL18BP","predicted secreted protein","HPA"
"IL18BP","predicted secreted protein","VerSeDa"
"IL18R1","cytokin/chemokine_&_receptors","Online resource"
"IL18R1","cytokin/chemokine_&_receptors","KEGG"
"IL18RAP","cytokin/chemokine_&_receptors","Online resource"
"IL18RAP","cytokin/chemokine_&_receptors","KEGG"
"IL19","cytokin/chemokine_&_receptors","Online resource"
"IL19","predicted secreted protein","HPA"
"IL19","cytokin/chemokine_&_receptors","KEGG"
"IL19","secreted protein","NABA"
"IL19","cytokin/chemokine_&_receptors","GSEA"
"IL1A","cytokin/chemokine_&_receptors","Online resource"
"IL1A","growth_factors_&_receptors","Online resource"
"IL1A","predicted secreted protein","HPA"
"IL1A","growth_factors_&_receptors","GOMF"
"IL1A","cytokin/chemokine_&_receptors","KEGG"
"IL1A","secreted protein","NABA"
"IL1A","cytokin/chemokine_&_receptors","GSEA"
"IL1B","growth_factors_&_receptors","Online resource"
"IL1B","cytokin/chemokine_&_receptors","Online resource"
"IL1B","predicted secreted protein","HPA"
"IL1B","growth_factors_&_receptors","GOMF"
"IL1B","cytokin/chemokine_&_receptors","KEGG"
"IL1B","secreted protein","NABA"
"IL1B","cytokin/chemokine_&_receptors","GSEA"
"IL1F10","cytokin/chemokine_&_receptors","Online resource"
"IL1F10","growth_factors_&_receptors","Online resource"
"IL1F10","predicted secreted protein","HPA"
"IL1F10","growth_factors_&_receptors","GOMF"
"IL1F10","secreted protein","NABA"
"IL1F10","cytokin/chemokine_&_receptors","GSEA"
"IL1R1","growth_factors_&_receptors","Online resource"
"IL1R1","cytokin/chemokine_&_receptors","Online resource"
"IL1R1","growth_factors_&_receptors","GOMF"
"IL1R1","cytokin/chemokine_&_receptors","KEGG"
"IL1R2","cytokin/chemokine_&_receptors","Online resource"
"IL1R2","growth_factors_&_receptors","Online resource"
"IL1R2","growth_factors_&_receptors","GOMF"
"IL1R2","cytokin/chemokine_&_receptors","KEGG"
"IL1RAP","growth_factors_&_receptors","Online resource"
"IL1RAP","cytokin/chemokine_&_receptors","Online resource"
"IL1RAP","predicted secreted protein","VerSeDa"
"IL1RAP","growth_factors_&_receptors","GOMF"
"IL1RAP","cytokin/chemokine_&_receptors","KEGG"
"IL1RAPL1","growth_factors_&_receptors","Online resource"
"IL1RAPL1","growth_factors_&_receptors","GOMF"
"IL1RL1","cytokin/chemokine_&_receptors","Online resource"
"IL1RL1","predicted secreted protein","VerSeDa"
"IL1RL2","cytokin/chemokine_&_receptors","Online resource"
"IL1RN","cytokin/chemokine_&_receptors","Online resource"
"IL1RN","growth_factors_&_receptors","Online resource"
"IL1RN","predicted secreted protein","HPA"
"IL1RN","predicted secreted protein","VerSeDa"
"IL1RN","growth_factors_&_receptors","GOMF"
"IL1RN","secreted protein","NABA"
"IL1RN","cytokin/chemokine_&_receptors","GSEA"
"IL2","growth_factors_&_receptors","Online resource"
"IL2","cytokin/chemokine_&_receptors","Online resource"
"IL2","predicted secreted protein","HPA"
"IL2","growth_factors_&_receptors","GOMF"
"IL2","cytokin/chemokine_&_receptors","KEGG"
"IL2","secreted protein","NABA"
"IL2","cytokin/chemokine_&_receptors","GSEA"
"IL20","cytokin/chemokine_&_receptors","Online resource"
"IL20","predicted secreted protein","HPA"
"IL20","predicted secreted protein","VerSeDa"
"IL20","cytokin/chemokine_&_receptors","KEGG"
"IL20","secreted protein","NABA"
"IL20","cytokin/chemokine_&_receptors","GSEA"
"IL20RA","cytokin/chemokine_&_receptors","Online resource"
"IL20RA","cytokin/chemokine_&_receptors","KEGG"
"IL20RB","cytokin/chemokine_&_receptors","Online resource"
"IL20RB","cytokin/chemokine_&_receptors","KEGG"
"IL21","growth_factors_&_receptors","Online resource"
"IL21","cytokin/chemokine_&_receptors","Online resource"
"IL21","predicted secreted protein","HPA"
"IL21","predicted secreted protein","VerSeDa"
"IL21","growth_factors_&_receptors","GOMF"
"IL21","cytokin/chemokine_&_receptors","KEGG"
"IL21","cytokin/chemokine_&_receptors","GSEA"
"IL21R","cytokin/chemokine_&_receptors","Online resource"
"IL21R","cytokin/chemokine_&_receptors","KEGG"
"IL22","cytokin/chemokine_&_receptors","Online resource"
"IL22","predicted secreted protein","HPA"
"IL22","predicted secreted protein","VerSeDa"
"IL22","cytokin/chemokine_&_receptors","KEGG"
"IL22","secreted protein","NABA"
"IL22","cytokin/chemokine_&_receptors","GSEA"
"IL22RA1","cytokin/chemokine_&_receptors","Online resource"
"IL22RA1","cytokin/chemokine_&_receptors","KEGG"
"IL22RA2","predicted secreted protein","HPA"
"IL22RA2","predicted secreted protein","VerSeDa"
"IL22RA2","cytokin/chemokine_&_receptors","KEGG"
"IL23A","cytokin/chemokine_&_receptors","Online resource"
"IL23A","predicted secreted protein","HPA"
"IL23A","predicted secreted protein","VerSeDa"
"IL23A","cytokin/chemokine_&_receptors","KEGG"
"IL23A","secreted protein","NABA"
"IL23A","cytokin/chemokine_&_receptors","GSEA"
"IL23R","growth_factors_&_receptors","Online resource"
"IL23R","cytokin/chemokine_&_receptors","Online resource"
"IL23R","growth_factors_&_receptors","GOMF"
"IL23R","cytokin/chemokine_&_receptors","KEGG"
"IL24","cytokin/chemokine_&_receptors","Online resource"
"IL24","predicted secreted protein","HPA"
"IL24","predicted secreted protein","VerSeDa"
"IL24","cytokin/chemokine_&_receptors","KEGG"
"IL24","secreted protein","NABA"
"IL24","cytokin/chemokine_&_receptors","GSEA"
"IL25","cytokin/chemokine_&_receptors","Online resource"
"IL25","predicted secreted protein","HPA"
"IL25","cytokin/chemokine_&_receptors","KEGG"
"IL25","secreted protein","NABA"
"IL25","cytokin/chemokine_&_receptors","GSEA"
"IL26","cytokin/chemokine_&_receptors","Online resource"
"IL26","predicted secreted protein","HPA"
"IL26","predicted secreted protein","VerSeDa"
"IL26","cytokin/chemokine_&_receptors","KEGG"
"IL26","secreted protein","NABA"
"IL26","cytokin/chemokine_&_receptors","GSEA"
"IL27","cytokin/chemokine_&_receptors","Online resource"
"IL27","predicted secreted protein","HPA"
"IL27","predicted secreted protein","VerSeDa"
"IL27","cytokin/chemokine_&_receptors","GSEA"
"IL27RA","growth_factors_&_receptors","Online resource"
"IL27RA","cytokin/chemokine_&_receptors","Online resource"
"IL2RA","cytokin/chemokine_&_receptors","Online resource"
"IL2RA","growth_factors_&_receptors","Online resource"
"IL2RA","growth_factors_&_receptors","GOMF"
"IL2RA","cytokin/chemokine_&_receptors","KEGG"
"IL2RB","cytokin/chemokine_&_receptors","Online resource"
"IL2RB","growth_factors_&_receptors","Online resource"
"IL2RB","growth_factors_&_receptors","GOMF"
"IL2RB","cytokin/chemokine_&_receptors","KEGG"
"IL2RG","cytokin/chemokine_&_receptors","Online resource"
"IL2RG","growth_factors_&_receptors","Online resource"
"IL2RG","growth_factors_&_receptors","GOMF"
"IL2RG","cytokin/chemokine_&_receptors","KEGG"
"IL3","growth_factors_&_receptors","Online resource"
"IL3","cytokin/chemokine_&_receptors","Online resource"
"IL3","predicted secreted protein","HPA"
"IL3","predicted secreted protein","VerSeDa"
"IL3","growth_factors_&_receptors","GOMF"
"IL3","cytokin/chemokine_&_receptors","KEGG"
"IL3","secreted protein","NABA"
"IL3","cytokin/chemokine_&_receptors","GSEA"
"IL31","cytokin/chemokine_&_receptors","Online resource"
"IL31","predicted secreted protein","HPA"
"IL31","cytokin/chemokine_&_receptors","GSEA"
"IL31RA","cytokin/chemokine_&_receptors","Online resource"
"IL32","cytokin/chemokine_&_receptors","Online resource"
"IL32","predicted secreted protein","HPA"
"IL32","cytokin/chemokine_&_receptors","GSEA"
"IL33","cytokin/chemokine_&_receptors","Online resource"
"IL33","predicted secreted protein","HPA"
"IL33","cytokin/chemokine_&_receptors","GSEA"
"IL34","cytokin/chemokine_&_receptors","Online resource"
"IL34","growth_factors_&_receptors","Online resource"
"IL34","predicted secreted protein","HPA"
"IL34","growth_factors_&_receptors","GOMF"
"IL34","secreted protein","NABA"
"IL34","cytokin/chemokine_&_receptors","GSEA"
"IL36A","growth_factors_&_receptors","Online resource"
"IL36A","cytokin/chemokine_&_receptors","Online resource"
"IL36A","predicted secreted protein","HPA"
"IL36A","growth_factors_&_receptors","GOMF"
"IL36A","secreted protein","NABA"
"IL36A","cytokin/chemokine_&_receptors","GSEA"
"IL36B","growth_factors_&_receptors","Online resource"
"IL36B","cytokin/chemokine_&_receptors","Online resource"
"IL36B","predicted secreted protein","HPA"
"IL36B","growth_factors_&_receptors","GOMF"
"IL36B","secreted protein","NABA"
"IL36B","cytokin/chemokine_&_receptors","GSEA"
"IL36G","cytokin/chemokine_&_receptors","Online resource"
"IL36G","growth_factors_&_receptors","Online resource"
"IL36G","predicted secreted protein","HPA"
"IL36G","growth_factors_&_receptors","GOMF"
"IL36G","secreted protein","NABA"
"IL36G","cytokin/chemokine_&_receptors","GSEA"
"IL36RN","cytokin/chemokine_&_receptors","Online resource"
"IL36RN","growth_factors_&_receptors","Online resource"
"IL36RN","predicted secreted protein","HPA"
"IL36RN","growth_factors_&_receptors","GOMF"
"IL36RN","secreted protein","NABA"
"IL36RN","cytokin/chemokine_&_receptors","GSEA"
"IL37","growth_factors_&_receptors","Online resource"
"IL37","cytokin/chemokine_&_receptors","Online resource"
"IL37","predicted secreted protein","HPA"
"IL37","growth_factors_&_receptors","GOMF"
"IL37","secreted protein","NABA"
"IL37","cytokin/chemokine_&_receptors","GSEA"
"IL3RA","cytokin/chemokine_&_receptors","Online resource"
"IL3RA","cytokin/chemokine_&_receptors","KEGG"
"IL4","growth_factors_&_receptors","Online resource"
"IL4","cytokin/chemokine_&_receptors","Online resource"
"IL4","predicted secreted protein","HPA"
"IL4","predicted secreted protein","VerSeDa"
"IL4","growth_factors_&_receptors","GOMF"
"IL4","cytokin/chemokine_&_receptors","KEGG"
"IL4","secreted protein","NABA"
"IL4","cytokin/chemokine_&_receptors","GSEA"
"IL4I1","predicted secreted protein","HPA"
"IL4R","cytokin/chemokine_&_receptors","Online resource"
"IL4R","cytokin/chemokine_&_receptors","KEGG"
"IL5","cytokin/chemokine_&_receptors","Online resource"
"IL5","growth_factors_&_receptors","Online resource"
"IL5","predicted secreted protein","HPA"
"IL5","predicted secreted protein","VerSeDa"
"IL5","growth_factors_&_receptors","GOMF"
"IL5","cytokin/chemokine_&_receptors","KEGG"
"IL5","secreted protein","NABA"
"IL5","cytokin/chemokine_&_receptors","GSEA"
"IL5RA","cytokin/chemokine_&_receptors","Online resource"
"IL5RA","cytokin/chemokine_&_receptors","KEGG"
"IL6","growth_factors_&_receptors","Online resource"
"IL6","cytokin/chemokine_&_receptors","Online resource"
"IL6","predicted secreted protein","HPA"
"IL6","growth_factors_&_receptors","GOMF"
"IL6","cytokin/chemokine_&_receptors","KEGG"
"IL6","secreted protein","NABA"
"IL6","cytokin/chemokine_&_receptors","GSEA"
"IL6R","growth_factors_&_receptors","Online resource"
"IL6R","cytokin/chemokine_&_receptors","Online resource"
"IL6R","growth_factors_&_receptors","GOMF"
"IL6R","cytokin/chemokine_&_receptors","KEGG"
"IL6ST","growth_factors_&_receptors","Online resource"
"IL6ST","cytokin/chemokine_&_receptors","Online resource"
"IL6ST","growth_factors_&_receptors","GOMF"
"IL6ST","cytokin/chemokine_&_receptors","KEGG"
"IL6ST","cytokin/chemokine_&_receptors","GSEA"
"IL7","growth_factors_&_receptors","Online resource"
"IL7","cytokin/chemokine_&_receptors","Online resource"
"IL7","predicted secreted protein","HPA"
"IL7","predicted secreted protein","VerSeDa"
"IL7","growth_factors_&_receptors","GOMF"
"IL7","cytokin/chemokine_&_receptors","KEGG"
"IL7","secreted protein","NABA"
"IL7","cytokin/chemokine_&_receptors","GSEA"
"IL7R","cytokin/chemokine_&_receptors","Online resource"
"IL7R","cytokin/chemokine_&_receptors","KEGG"
"IL9","growth_factors_&_receptors","Online resource"
"IL9","cytokin/chemokine_&_receptors","Online resource"
"IL9","predicted secreted protein","HPA"
"IL9","predicted secreted protein","VerSeDa"
"IL9","growth_factors_&_receptors","GOMF"
"IL9","cytokin/chemokine_&_receptors","KEGG"
"IL9","secreted protein","NABA"
"IL9","cytokin/chemokine_&_receptors","GSEA"
"IL9R","cytokin/chemokine_&_receptors","Online resource"
"IL9R","growth_factors_&_receptors","Online resource"
"IL9R","predicted secreted protein","VerSeDa"
"IL9R","growth_factors_&_receptors","GOMF"
"IL9R","cytokin/chemokine_&_receptors","KEGG"
"IMPG1","predicted secreted protein","HPA"
"INHA","growth_factors_&_receptors","Online resource"
"INHA","cytokin/chemokine_&_receptors","Online resource"
"INHA","hormones_&_receptors","Online resource"
"INHA","predicted secreted protein","HPA"
"INHA","growth_factors_&_receptors","GOMF"
"INHA","secreted protein","NABA"
"INHA","cytokin/chemokine_&_receptors","GSEA"
"INHBA","growth_factors_&_receptors","Online resource"
"INHBA","cytokin/chemokine_&_receptors","Online resource"
"INHBA","hormones_&_receptors","Online resource"
"INHBA","predicted secreted protein","HPA"
"INHBA","growth_factors_&_receptors","GOMF"
"INHBA","cytokin/chemokine_&_receptors","KEGG"
"INHBA","secreted protein","NABA"
"INHBA","cytokin/chemokine_&_receptors","GSEA"
"INHBB","cytokin/chemokine_&_receptors","Online resource"
"INHBB","hormones_&_receptors","Online resource"
"INHBB","growth_factors_&_receptors","Online resource"
"INHBB","predicted secreted protein","HPA"
"INHBB","predicted secreted protein","VerSeDa"
"INHBB","growth_factors_&_receptors","GOMF"
"INHBB","cytokin/chemokine_&_receptors","KEGG"
"INHBB","secreted protein","NABA"
"INHBB","cytokin/chemokine_&_receptors","GSEA"
"INHBC","cytokin/chemokine_&_receptors","Online resource"
"INHBC","growth_factors_&_receptors","Online resource"
"INHBC","hormones_&_receptors","Online resource"
"INHBC","predicted secreted protein","HPA"
"INHBC","growth_factors_&_receptors","GOMF"
"INHBC","cytokin/chemokine_&_receptors","KEGG"
"INHBC","secreted protein","NABA"
"INHBC","cytokin/chemokine_&_receptors","GSEA"
"INHBE","cytokin/chemokine_&_receptors","Online resource"
"INHBE","growth_factors_&_receptors","Online resource"
"INHBE","hormones_&_receptors","Online resource"
"INHBE","predicted secreted protein","HPA"
"INHBE","predicted secreted protein","VerSeDa"
"INHBE","growth_factors_&_receptors","GOMF"
"INHBE","cytokin/chemokine_&_receptors","KEGG"
"INHBE","secreted protein","NABA"
"INHBE","cytokin/chemokine_&_receptors","GSEA"
"INS","hormones_&_receptors","Online resource"
"INS","predicted secreted protein","HPA"
"INS","predicted secreted protein","VerSeDa"
"INS","secreted protein","NABA"
"INS","cytokin/chemokine_&_receptors","GSEA"
"INS-IGF2","hormones_&_receptors","Online resource"
"INS-IGF2","predicted secreted protein","HPA"
"INS-IGF2","secreted protein","NABA"
"INS-IGF2","cytokin/chemokine_&_receptors","GSEA"
"INSL3","hormones_&_receptors","Online resource"
"INSL3","predicted secreted protein","HPA"
"INSL3","predicted secreted protein","VerSeDa"
"INSL3","secreted protein","NABA"
"INSL3","cytokin/chemokine_&_receptors","GSEA"
"INSL4","hormones_&_receptors","Online resource"
"INSL4","predicted secreted protein","HPA"
"INSL4","cytokin/chemokine_&_receptors","GSEA"
"INSL5","hormones_&_receptors","Online resource"
"INSL5","predicted secreted protein","HPA"
"INSL5","secreted protein","NABA"
"INSL5","cytokin/chemokine_&_receptors","GSEA"
"INSL6","hormones_&_receptors","Online resource"
"INSL6","predicted secreted protein","HPA"
"INSL6","secreted protein","NABA"
"INSL6","cytokin/chemokine_&_receptors","GSEA"
"INSR","growth_factors_&_receptors","Online resource"
"INSR","hormones_&_receptors","Online resource"
"INSR","growth_factors_&_receptors","GOMF"
"IRAK4","growth_factors_&_receptors","Online resource"
"IRAK4","growth_factors_&_receptors","GOMF"
"IRS1","hormones_&_receptors","REACTOME"
"IRS2","hormones_&_receptors","REACTOME"
"ISG15","predicted secreted protein","HPA"
"ISLR","predicted secreted protein","HPA"
"ISLR","predicted secreted protein","VerSeDa"
"ISM1","predicted secreted protein","HPA"
"ISM1","secreted protein","NABA"
"ISM2","predicted secreted protein","HPA"
"ISM2","predicted secreted protein","VerSeDa"
"ISM2","secreted protein","NABA"
"ITGA5","growth_factors_&_receptors","Online resource"
"ITGA5","growth_factors_&_receptors","GOMF"
"ITGA6","growth_factors_&_receptors","Online resource"
"ITGA6","growth_factors_&_receptors","GOMF"
"ITGAV","growth_factors_&_receptors","Online resource"
"ITGAV","growth_factors_&_receptors","GOMF"
"ITGB3","growth_factors_&_receptors","Online resource"
"ITGB3","growth_factors_&_receptors","GOMF"
"ITGB4","growth_factors_&_receptors","Online resource"
"ITGB4","growth_factors_&_receptors","GOMF"
"ITGBL1","predicted secreted protein","HPA"
"ITIH1","predicted secreted protein","HPA"
"ITIH2","predicted secreted protein","HPA"
"ITIH3","predicted secreted protein","HPA"
"ITIH4","predicted secreted protein","HPA"
"ITIH5","predicted secreted protein","HPA"
"ITIH6","predicted secreted protein","HPA"
"ITK","cytokin/chemokine_&_receptors","WP"
"ITLN1","predicted secreted protein","HPA"
"ITLN2","predicted secreted protein","HPA"
"ITM2B","predicted secreted protein","VerSeDa"
"IZUMO4","predicted secreted protein","HPA"
"JAG1","growth_factors_&_receptors","Online resource"
"JAG1","growth_factors_&_receptors","GOMF"
