"symbol","type","database"
"ARSK","predicted secreted protein","HPA"
"ART5","predicted secreted protein","HPA"
"ARTN","growth_factors_&_receptors","Online resource"
"ARTN","predicted secreted protein","HPA"
"ARTN","growth_factors_&_receptors","GOMF"
"ARTN","secreted protein","NABA"
"ARTN","cytokin/chemokine_&_receptors","GSEA"
"ASGR1","predicted secreted protein","HPA"
"ASGR1","predicted secreted protein","VerSeDa"
"ASIP","hormones_&_receptors","Online resource"
"ASIP","predicted secreted protein","HPA"
"ASPN","predicted secreted protein","HPA"
"ATP1A1","hormones_&_receptors","Online resource"
"ATP1A2","hormones_&_receptors","Online resource"
"ATP1A3","hormones_&_receptors","Online resource"
"ATXN2","growth_factors_&_receptors","Online resource"
"ATXN2","growth_factors_&_receptors","GOMF"
"AVP","hormones_&_receptors","Online resource"
"AVP","predicted secreted protein","HPA"
"AVP","predicted secreted protein","VerSeDa"
"AVP","cytokin/chemokine_&_receptors","GSEA"
"AVPR1A","hormones_&_receptors","Online resource"
"AVPR1B","hormones_&_receptors","Online resource"
"AZGP1","predicted secreted protein","HPA"
"AZU1","predicted secreted protein","HPA"
"AZU1","cytokin/chemokine_&_receptors","GSEA"
"B2M","predicted secreted protein","HPA"
"B2M","predicted secreted protein","VerSeDa"
"B3GAT1","predicted secreted protein","HPA"
"BCAN","predicted secreted protein","HPA"
"BCAN","predicted secreted protein","VerSeDa"
"BCAR1","cytokin/chemokine_&_receptors","WP"
"BCHE","predicted secreted protein","HPA"
"BDNF","growth_factors_&_receptors","Online resource"
"BDNF","growth_factors_&_receptors","GOMF"
"BDNF","secreted protein","NABA"
"BDNF","cytokin/chemokine_&_receptors","GSEA"
"BGLAP","predicted secreted protein","HPA"
"BGLAP","predicted secreted protein","VerSeDa"
"BGN","predicted secreted protein","HPA"
"BMP1","growth_factors_&_receptors","Online resource"
"BMP1","predicted secreted protein","HPA"
"BMP1","growth_factors_&_receptors","GOMF"
"BMP1","cytokin/chemokine_&_receptors","GSEA"
"BMP10","cytokin/chemokine_&_receptors","Online resource"
"BMP10","hormones_&_receptors","Online resource"
"BMP10","growth_factors_&_receptors","Online resource"
"BMP10","predicted secreted protein","HPA"
"BMP10","predicted secreted protein","VerSeDa"
"BMP10","growth_factors_&_receptors","GOMF"
